date,open,high,low,close,volume
2019-01-04,246.02,253.09,243.67,252.42,6647306
2019-01-11,252.73,259.15,251.72,258.89,6432963
2019-01-18,256.86,266.94,256.41,266.41,5624663
2019-01-25,264.82,266.69,260.69,265.74,4992434
2019-02-01,263.4,271.2,261.84,270.08,5800905
2019-02-08,270.12,273.42,267.83,270.46,5343569
2019-02-15,271.19,277.39,270.05,277.37,6087084
2019-02-22,276.47,279.35,276.35,279.15,4267731
2019-03-01,280.75,281.31,277.48,280.5,5704447
2019-03-08,281.75,281.83,272.43,274.51,5988268
2019-03-15,275.31,282.36,275.24,281.35,6074817
2019-03-22,281.6,285.17,279.18,279.22,8812353
2019-03-29,278.88,282.83,277.65,282.63,5214530
2019-04-05,284.71,288.62,284.41,288.56,5858718
2019-04-12,288.09,290.46,286.7,290.18,4614006
2019-04-18,290.25,291.42,288.66,290.01,3773242
2019-04-26,289.17,293.49,289.07,293.49,4813048
2019-05-03,293.5,294.95,289.52,294.02,5490825
2019-05-10,289.3,293.31,282.32,288.01,9136112
2019-05-17,282.4,289.2,279.93,285.89,9229462
2019-05-24,284.11,286.92,280.58,282.81,6623377
2019-05-31,283.12,284.13,275.25,275.39,6994932
2019-06-07,275.35,288.83,273.09,287.66,8053607
2019-06-14,289.35,291.39,287.83,289.15,4668453
2019-06-21,289.54,296.3,289.18,294.09,5175303
2019-06-28,294.24,294.57,290.35,293.15,3636795
